UF,nome,PIB,Pop_est_2009,PIB_percapita
MINAS GERAIS,Brás Pires,20628.4296875,4615,4469.87011719
MINAS GERAIS,Monte Azul,94946.1875,22838,4157.37988281
SÃO PAULO,Mauá,6574846.5,417458,15749.71972656
BAHIA,Planaltino,31850.30078125,8880,3586.75
MINAS GERAIS,Tupaciguara,294354.84375,23841,12346.58007812
MATO GROSSO DO SUL,Alcinópolis,92977.2265625,4515,20592.9609375
BAHIA,Serrinha,393287.0625,73859,5324.83984375
SANTA CATARINA,Abdon Batista,35731.484375,2805,12738.5
MARANHÃO,Carutapera,67091.46875,21121,3176.5300293
RIO DE JANEIRO,Cantagalo,622857.5,20540,30324.11914062
CEARÁ,Boa Viagem,195497.71875,56236,3476.37988281
MINAS GERAIS,Sacramento,527058.9375,23112,22804.56054688
BAHIA,Ipiaú,271794.59375,43723,6216.27978516
SANTA CATARINA,Bom Jardim da Serra,47566.6953125,4383,10852.54003906
SÃO PAULO,Várzea Paulista,1421194.0,107211,13256.04980469
GOIÁS,Rio Quente,49451.97265625,3285,15053.87011719
PIAUÍ,Santana do Piauí,15979.00292969,5015,3186.23999023
RIO GRANDE DO SUL,Carlos Gomes,20166.66992188,1718,11738.45996094
SÃO PAULO,Riversul,43661.6171875,6520,6696.56982422
ACRE,Assis Brasil,48347.30078125,5662,8538.91015625
PARAÍBA,Araruna,78491.8515625,20009,3922.83007812
MINAS GERAIS,Jequitaí,44734.484375,8117,5511.20996094
BAHIA,Conceição do Jacuípe,404286.28125,28769,14052.83984375
BAHIA,Ibirapitanga,94739.7421875,24223,3911.14990234
GOIÁS,Acreúna,292935.15625,19246,15220.5703125
ALAGOAS,São Miguel dos Milagres,29789.48828125,7601,3919.14990234
MATO GROSSO,Pontes e Lacerda,523958.28125,39228,13356.74023438
MINAS GERAIS,Águas Formosas,92617.0078125,19310,4796.31982422
PARANÁ,Imbituva,220502.328125,28660,7693.72998047
SÃO PAULO,Alto Alegre,38369.390625,4267,8992.12011719
ESPIRITO SANTO,João Neiva,162151.4375,14621,11090.30957031
PIAUÍ,Valença do Piauí,90192.671875,20303,4442.33007812
MINAS GERAIS,Pompéu,387824.65625,29929,12958.16015625
ACRE,Epitaciolândia,129641.09375,14224,9114.25
MINAS GERAIS,Veríssimo,77581.65625,3991,19439.15039062
PIAUÍ,São João da Serra,22621.08203125,6877,3289.37988281
PIAUÍ,Coronel José Dias,13511.09667969,4484,3013.17993164
MINAS GERAIS,Cachoeira da Prata,29977.31835938,3936,7616.18994141
MINAS GERAIS,São Gonçalo do Pará,77404.9296875,11246,6882.89013672
SÃO PAULO,Bragança Paulista,2389078.25,145894,16375.44042969
MATO GROSSO,General Carneiro,98700.0546875,5028,19630.08007812
MARANHÃO,São Roberto,17869.60351562,5217,3425.26000977
PARÁ,Nova Esperança do Piriá,69204.703125,24062,2876.10009766
PARANÁ,Pato Branco,1345454.625,70160,19176.94921875
MINAS GERAIS,Caraí,80639.375,22392,3601.26000977
RIO GRANDE DO NORTE,Senador Georgino Avelino,20890.93164062,3854,5420.58007812
MINAS GERAIS,Resplendor,154419.015625,17608,8769.8203125
TOCANTINS,Pedro Afonso,219720.21875,10758,20423.890625
SANTA CATARINA,Timbó,857392.6875,35303,24286.6796875
PIAUÍ,São Gonçalo do Piauí,15585.75195312,4485,3475.08007812
SÃO PAULO,Vargem Grande Paulista,632840.3125,44754,14140.41992188
SÃO PAULO,Cássia dos Coqueiros,39400.171875,2737,14395.38964844
RIO GRANDE DO NORTE,Baía Formosa,154971.21875,8811,17588.38085938
PERNAMBUCO,Goiana,634199.5625,74424,8521.44042969
RIO GRANDE DO SUL,Cerro Branco,54877.2421875,4673,11743.46972656
PIAUÍ,Joca Marques,15076.13085938,5614,2685.44995117
PARANÁ,São João do Caiuá,45573.4296875,6152,7407.89990234
PERNAMBUCO,Iguaraci,45478.7890625,12397,3668.5300293
RIO GRANDE DO SUL,Garruchos,218234.140625,3509,62192.69140625
MATO GROSSO,Santa Carmem,182842.890625,4573,39983.140625
BAHIA,Itapetinga,658192.25,66665,9873.12988281
MINAS GERAIS,Seritinga,13994.18945312,1818,7697.56982422
MINAS GERAIS,Taparuba,18789.33203125,3357,5597.06005859
RIO GRANDE DO NORTE,Bodó,16126.94140625,2592,6221.81005859
RIO GRANDE DO SUL,São Vendelino,28861.82617188,1891,15262.73046875
MATO GROSSO DO SUL,Angélica,133023.96875,7465,17819.68945312
PARANÁ,Santana do Itararé,45365.75,5697,7963.08984375
PERNAMBUCO,Tacaratu,70767.1484375,22231,3183.26000977
PARANÁ,Teixeira Soares,85131.5625,10548,8070.87011719
SANTA CATARINA,São Joaquim,309743.09375,25122,12329.54980469
SANTA CATARINA,Palma Sola,118605.6171875,8145,14561.76953125
MATO GROSSO,Mirassol D'Oeste,301727.3125,25605,11783.91992188
RIO GRANDE DO SUL,Capão do Leão,318006.34375,24458,13002.13964844
PARÁ,Rurópolis,107944.171875,36068,2992.80004883
MINAS GERAIS,Machacalis,37748.45703125,7069,5340.0
PIAUÍ,Sussuapara,23830.77539062,5759,4138.00976562
GOIÁS,Hidrolândia,257722.515625,14718,17510.69921875
MARANHÃO,Governador Edison Lobão,59880.09375,14921,4013.13989258
MINAS GERAIS,Consolação,10992.83691406,1750,6281.62011719
MARANHÃO,Porto Franco,211566.140625,19503,10847.87988281
BAHIA,Umburanas,48177.484375,17096,2818.06005859
PARANÁ,Carambeí,859779.375,17537,49026.6015625
MATO GROSSO,Canabrava do Norte,61282.00390625,5563,11016.0
MINAS GERAIS,Muzambinho,217759.796875,20426,10660.91015625
SÃO PAULO,Ribeirão Preto,14688064.0,563107,26083.97070312
PIAUÍ,União,192874.375,43135,4471.41015625
MINAS GERAIS,Cascalho Rico,33284.22265625,2938,11328.87011719
PARANÁ,Jaguariaíva,527268.25,33244,15860.54980469
PERNAMBUCO,Água Preta,127078.7265625,30792,4127.0
MINAS GERAIS,Lontra,29653.39257812,8332,3558.97998047
SANTA CATARINA,Cunhataí,23290.72070312,1948,11956.21972656
MINAS GERAIS,Itapecerica,155813.703125,21200,7349.70019531
MATO GROSSO,Araputanga,230694.578125,16090,14337.75976562
PARANÁ,Ibema,59509.87109375,6144,9685.84960938
BAHIA,Brejões,92945.0078125,12446,7467.85986328
RIO GRANDE DO SUL,Vale do Sol,167418.703125,11273,14851.29980469
SANTA CATARINA,Siderópolis,227415.109375,12967,17537.99023438
SANTA CATARINA,Barra Velha,322263.875,19861,16225.95996094
GOIÁS,Nova Aurora,20509.70117188,2209,9284.61035156
SANTA CATARINA,Brusque,2431683.25,102280,23774.76953125
GOIÁS,Portelândia,103158.140625,3321,31062.36914062
MINAS GERAIS,Recreio,59628.3125,10538,5658.41015625
MINAS GERAIS,Mantena,191780.390625,27580,6953.60009766
SÃO PAULO,Timburi,29524.6484375,2548,11587.37988281
MINAS GERAIS,Wenceslau Braz,16090.56835938,2571,6258.49023438
RIO GRANDE DO SUL,Três Cachoeiras,87440.0546875,11022,7933.22998047
SÃO PAULO,Vitória Brasil,17446.89453125,1662,10497.53027344
PARANÁ,Guaraniaçu,165406.515625,16161,10234.91992188
PIAUÍ,Francisco Santos,33827.109375,8315,4068.19995117
SANTA CATARINA,São José do Cedro,258714.359375,14155,18277.24023438
PIAUÍ,Jerumenha,16912.27539062,4490,3766.64990234
PERNAMBUCO,Venturosa,79114.109375,16706,4735.66992188
SANTA CATARINA,Bom Jesus,58548.26171875,2427,24123.72070312
CEARÁ,Pedra Branca,132454.375,42152,3142.30004883
MINAS GERAIS,Dores de Campos,79840.859375,9821,8129.60986328
MINAS GERAIS,Malacacheta,88030.6015625,18181,4841.89990234
TOCANTINS,Centenário,17933.32617188,2485,7216.62988281
TOCANTINS,Santa Tereza do Tocantins,16738.83203125,2390,7003.70019531
TOCANTINS,Dois Irmãos do Tocantins,57289.5703125,7254,7897.64990234
BAHIA,Coaraci,88990.53125,22274,3995.26000977
PARANÁ,Porto Vitória,35696.4375,3833,9312.91992188
MINAS GERAIS,Rio Novo,54647.140625,9300,5876.04003906
MARANHÃO,Duque Bacelar,31129.71484375,10827,2875.18994141
BAHIA,Marcionílio Souza,41508.33203125,11061,3752.66992188
BAHIA,Queimadas,95227.765625,28729,3314.68994141
RONDÔNIA,São Felipe D'Oeste,71718.96875,6412,11185.12011719
PIAUÍ,Bom Jesus,203856.984375,20511,9938.91015625
SÃO PAULO,Presidente Venceslau,432351.59375,38439,11247.73046875
MARANHÃO,Graça Aranha,23405.97070312,6470,3617.62011719
RIO GRANDE DO SUL,Tunas,48574.01953125,4551,10673.25976562
SÃO PAULO,Vargem,60099.21484375,7098,8467.05957031
PARANÁ,Arapuã,38814.890625,4017,9662.66015625
PARANÁ,Pitangueiras,36812.2421875,2822,13044.74023438
TOCANTINS,Porto Nacional,487393.9375,46722,10431.79003906
MATO GROSSO,Campo Novo do Parecis,1389985.25,23784,58442.03125
PARANÁ,Adrianópolis,67600.6328125,6856,9860.0703125
PARAÍBA,Salgadinho,12675.48339844,3518,3603.04003906
RIO GRANDE DO SUL,Lajeado do Bugre,23565.09570312,2647,8902.5703125
MATO GROSSO,Nova Monte Verde,168346.625,8602,19570.640625
TOCANTINS,Colinas do Tocantins,243218.171875,30666,7931.20019531
ALAGOAS,Olho D'Água do Casado,27759.3671875,8517,3259.29003906
BAHIA,Itabela,201399.09375,26704,7541.91015625
RIO GRANDE DO SUL,Harmonia,73449.2734375,3785,19405.359375
MINAS GERAIS,Açucena,52611.05078125,11409,4611.35986328
RIO GRANDE DO SUL,Mariano Moro,23514.30859375,2304,10205.86035156
GOIÁS,Maurilândia,98095.1015625,11604,8453.55957031
RIO GRANDE DO SUL,Sentinela do Sul,71049.21875,5598,12691.88964844
CEARÁ,Ipaumirim,42898.6640625,11999,3575.18994141
PERNAMBUCO,Lagoa do Itaenga,163927.328125,20618,7950.68994141
SÃO PAULO,Itararé,550863.0625,51412,10714.6796875
RIO GRANDE DO SUL,Sertão Santana,94106.140625,6155,15289.37988281
BAHIA,Salvador,32824228.0,2998056,10948.5
PARANÁ,Ivaiporã,324679.1875,32157,10096.69042969
CEARÁ,Barbalha,361385.09375,53011,6817.16992188
MINAS GERAIS,Várzea da Palma,602603.0625,36314,16594.23046875
SÃO PAULO,Buritizal,245243.796875,4096,59873.96875
PARANÁ,Inajá,25419.0703125,2876,8838.33984375
GOIÁS,Santa Helena de Goiás,511819.84375,36336,14085.75
SÃO PAULO,Ubatuba,843726.0625,81096,10404.04003906
CEARÁ,Aracoiaba,95183.4140625,25351,3754.62011719
PARÁ,Novo Repartimento,237766.78125,55762,4263.95996094
PARANÁ,Arapongas,1918444.875,103025,18621.16015625
RIO GRANDE DO SUL,Butiá,198340.671875,20213,9812.53027344
SÃO PAULO,Macedônia,37272.37109375,3393,10985.08007812
BAHIA,Jussiape,28544.64453125,8043,3549.0
SÃO PAULO,Emilianópolis,31979.79492188,3184,10043.91015625
PARANÁ,Virmond,39093.01953125,4181,9350.16015625
SÃO PAULO,Hortolândia,4855737.5,205856,23588.02929688
RIO GRANDE DO NORTE,Marcelino Vieira,36583.6171875,8331,4391.25976562
RIO DE JANEIRO,Nilópolis,1503782.75,159408,9433.54980469
MARANHÃO,Barão de Grajaú,73868.296875,17231,4286.93994141
PARÁ,Nova Timboteua,44749.25390625,12677,3529.95996094
ALAGOAS,Paulo Jacinto,24402.88085938,7772,3139.85009766
MINAS GERAIS,Natércia,46966.2890625,4773,9839.99023438
PIAUÍ,Antônio Almeida,22826.05273438,3267,6986.85009766
PARAÍBA,Lastro,12315.78808594,2894,4255.62988281
PIAUÍ,Santa Cruz dos Milagres,13804.08300781,3457,3993.08007812
SERGIPE,Telha,16041.54199219,2969,5403.00976562
PIAUÍ,Ipiranga do Piauí,33577.5078125,9739,3447.73999023
ESPIRITO SANTO,Guarapari,924333.0625,104534,8842.41992188
PARANÁ,Jaboti,33912.83984375,5307,6390.20996094
SÃO PAULO,Miracatu,169384.6875,23801,7116.70019531
RIO GRANDE DO SUL,Cidreira,118177.3046875,11885,9943.40039062
MINAS GERAIS,São José da Safira,18445.08789062,4069,4533.08007812
PERNAMBUCO,Cupira,92327.234375,22783,4052.45996094
GOIÁS,São Luís de Montes Belos,345585.90625,27793,12434.28027344
MINAS GERAIS,São Félix de Minas,19402.95703125,3484,5569.16015625
PIAUÍ,Santo Antônio de Lisboa,28596.89257812,5965,4794.10986328
PARANÁ,Santo Inácio,127319.7421875,4956,25690.01953125
MINAS GERAIS,Tapiraí,28785.10546875,1888,15246.34960938
ALAGOAS,Pilar,174139.0625,32655,5332.68994141
CEARÁ,Missão Velha,136965.046875,35135,3898.25
ALAGOAS,Cacimbinhas,39280.7421875,10182,3857.86010742
ALAGOAS,Jacuípe,29361.71679688,7045,4167.74023438
RIO GRANDE DO SUL,Planalto,93892.3671875,10734,8747.19042969
MARANHÃO,Presidente Juscelino,38451.5703125,12382,3105.43994141
GOIÁS,Santa Cruz de Goiás,59210.90625,3680,16089.91992188
SÃO PAULO,Dolcinópolis,21796.19726562,2272,9593.40039062
RIO GRANDE DO NORTE,Lagoa D'Anta,28359.14257812,6164,4600.77001953
PERNAMBUCO,Tuparetama,36445.796875,8678,4199.79003906
RIO DE JANEIRO,Petrópolis,5831205.0,315119,18504.76953125
PERNAMBUCO,Camaragibe,618538.0625,143210,4319.10009766
GOIÁS,Gameleira de Goiás,77272.7734375,3582,21572.51953125
GOIÁS,Aragarças,88645.015625,17883,4956.93994141
SÃO PAULO,Lavrinhas,58571.69140625,7002,8364.99023438
GOIÁS,Arenópolis,35280.58203125,3481,10135.19042969
RIO GRANDE DO SUL,Capitão,31977.71875,2694,11869.98046875
MINAS GERAIS,Vargem Grande do Rio Pardo,21605.60546875,4924,4387.81982422
SÃO PAULO,Santos,22546134.0,417098,54054.76171875
MARANHÃO,Bacabeira,95500.625,15574,6132.06005859
PIAUÍ,Novo Santo Antônio,11483.71191406,3547,3237.58007812
SÃO PAULO,Itaí,343309.71875,24093,14249.36035156
CEARÁ,Guaramiranga,25825.7578125,4070,6345.39990234
BAHIA,Lençóis,52895.79296875,10112,5230.99023438
BAHIA,Aramari,36618.66796875,9911,3694.75
ESPIRITO SANTO,Ibitirama,62844.390625,9238,6802.81005859
MINAS GERAIS,Careaçu,56834.83203125,6286,9041.49023438
SÃO PAULO,Ibaté,349127.375,29714,11749.58984375
BAHIA,Ilhéus,1925639.875,219266,8782.20996094
MINAS GERAIS,São Lourenço,370494.4375,42688,8679.12011719
PERNAMBUCO,Araripina,342256.96875,79877,4284.79980469
MINAS GERAIS,Chapada Gaúcha,72452.359375,11368,6373.35986328
MATO GROSSO,Cotriguaçu,135221.484375,14965,9035.84960938
MINAS GERAIS,Vermelho Novo,25643.0078125,4698,5458.27978516
RIO GRANDE DO SUL,Veranópolis,639887.625,26121,24497.06054688
BAHIA,Antônio Gonçalves,33189.3984375,11240,2952.79003906
RIO GRANDE DO NORTE,José da Penha,27978.04296875,6177,4529.39013672
SÃO PAULO,Panorama,123048.6171875,14577,8441.29003906
SÃO PAULO,Águas de Santa Bárbara,101069.890625,5612,18009.59960938
RIO GRANDE DO SUL,Eugênio de Castro,79817.078125,3083,25889.41992188
GOIÁS,Buritinópolis,15364.06640625,3573,4300.04980469
ESPIRITO SANTO,Atilio Vivacqua,98105.6171875,9361,10480.25
MATO GROSSO DO SUL,Camapuã,231829.265625,13532,17131.9296875
SÃO PAULO,Barra do Chapéu,33205.44921875,5358,6197.35986328
CEARÁ,Solonópole,85114.359375,18025,4722.02001953
MARANHÃO,Governador Eugênio Barros,51424.3125,16503,3116.06005859
SANTA CATARINA,Santa Terezinha do Progresso,38022.19921875,3062,12417.44042969
BAHIA,Abaíra,29147.60742188,8821,3304.34008789
MINAS GERAIS,São João do Oriente,47056.51171875,8128,5789.43017578
SANTA CATARINA,Balneário Piçarras,237103.515625,14845,15971.94042969
GOIÁS,Paraúna,259728.625,11319,22946.25
CEARÁ,Crato,726944.0625,116759,6226.02001953
ALAGOAS,Minador do Negrão,22713.8515625,5292,4292.10986328
BAHIA,Souto Soares,53800.0703125,19407,2772.19995117
PARÁ,Sapucaia,43872.1953125,5609,7821.75
SANTA CATARINA,Planalto Alegre,29832.25390625,2767,10781.44042969
CEARÁ,Granjeiro,19908.97460938,4999,3982.59008789
PARAÍBA,Ingá,74695.015625,18784,3976.52001953
PARANÁ,Douradina,205852.890625,6853,30038.359375
ALAGOAS,Anadia,72170.7265625,17740,4068.25
RIO DE JANEIRO,São Fidélis,381657.59375,39256,9722.26953125
RIO GRANDE DO SUL,Portão,609619.625,30802,19791.56054688
GOIÁS,Americano do Brasil,59193.86328125,4795,12344.91015625
GOIÁS,Taquaral de Goiás,31021.49609375,3471,8937.33984375
RIO GRANDE DO NORTE,Areia Branca,352249.375,25394,13871.36035156
TOCANTINS,Presidente Kennedy,56594.68359375,3784,14956.30957031
RONDÔNIA,Pimenta Bueno,513631.90625,33984,15113.9296875
SANTA CATARINA,Petrolândia,102293.9765625,6188,16531.01953125
RIO DE JANEIRO,Areal,196890.15625,11982,16432.16015625
ALAGOAS,Senador Rui Palmeira,35231.92578125,13110,2687.40991211
RIO GRANDE DO SUL,Água Santa,79701.8515625,3619,22023.16992188
BAHIA,Barro Alto,41433.265625,14172,2923.60009766
BAHIA,Ibipitanga,43890.1875,14408,3046.23999023
SÃO PAULO,Jandira,1409889.375,112130,12573.70019531
PIAUÍ,São Raimundo Nonato,155153.0625,32215,4816.16992188
RIO GRANDE DO NORTE,Pendências,104648.15625,13034,8028.85986328
RIO GRANDE DO SUL,Formigueiro,95122.9375,7214,13185.87988281
RIO DE JANEIRO,Natividade,187612.1875,15406,12177.87011719
GOIÁS,Córrego do Ouro,29560.24023438,2632,11231.08984375
GOIÁS,Ivolândia,30326.5546875,2738,11076.16992188
SANTA CATARINA,Witmarsum,57898.19921875,3584,16154.62988281
MINAS GERAIS,Guapé,110514.640625,13475,8201.45996094
TOCANTINS,São Valério,46077.2265625,5017,9184.21972656
SÃO PAULO,São José do Barreiro,31528.9453125,4490,7022.04003906
SÃO PAULO,Rio Grande da Serra,421630.78125,41602,10134.87011719
BAHIA,Canudos,53531.296875,15366,3483.75
BAHIA,João Dourado,97669.578125,21990,4441.54980469
PARANÁ,Pérola,102002.0546875,9665,10553.75976562
CEARÁ,Cariús,58676.28125,19338,3034.25
SÃO PAULO,Areiópolis,88476.9921875,11157,7930.18017578
MARANHÃO,Itinga do Maranhão,137673.25,26125,5269.79003906
ALAGOAS,Pariconha,32510.77148438,10539,3084.81005859
TOCANTINS,Miracema do Tocantins,560943.5625,19740,28416.59960938
MINAS GERAIS,Sardoá,23739.77929688,5477,4334.45019531
RIO GRANDE DO SUL,Putinga,65779.6953125,4242,15506.75976562
RIO GRANDE DO SUL,Nova Palma,130462.4375,6693,19492.36914062
SERGIPE,Poço Verde,98134.265625,21882,4484.70019531
MINAS GERAIS,Campo Azul,20342.54492188,4020,5060.33007812
RIO GRANDE DO NORTE,Lagoa Salgada,31882.97070312,7449,4280.16992188
GOIÁS,Turvelândia,175399.21875,4068,43116.8203125
ESPIRITO SANTO,Divino de São Lourenço,34397.96875,5011,6864.49023438
PARÁ,Tucuruí,2170090.0,96010,22602.75
MATO GROSSO DO SUL,Caracol,74384.765625,5320,13982.09960938
GOIÁS,São Francisco de Goiás,38083.13671875,5823,6540.12011719
SERGIPE,Itabaiana,665967.625,86564,7693.35986328
BAHIA,Cristópolis,47487.671875,14279,3325.69995117
CEARÁ,Jaguaretama,82730.8359375,18411,4493.54980469
RIO DE JANEIRO,São João de Meriti,4000292.25,469827,8514.38964844
BAHIA,Ribeira do Pombal,244964.375,49263,4972.58007812
TOCANTINS,Filadélfia,58334.25390625,7978,7311.89013672
RIO GRANDE DO SUL,Capela de Santana,89798.734375,11617,7729.93994141
RIO GRANDE DO SUL,Restinga Seca,227745.25,15885,14337.12988281
PIAUÍ,São Miguel do Tapuio,56574.91015625,19831,2852.85009766
SÃO PAULO,Marinópolis,26659.51367188,2158,12353.80957031
RIO GRANDE DO SUL,Itati,17316.42773438,2720,6366.33007812
RIO GRANDE DO SUL,Rio dos Índios,41633.12109375,4192,9931.5703125
MARANHÃO,São Luís Gonzaga do Maranhão,96742.3984375,19877,4867.04980469
TOCANTINS,Almas,40679.22265625,7605,5349.00976562
PIAUÍ,Campo Alegre do Fidalgo,13968.11035156,4647,3005.83007812
MINAS GERAIS,Nova Porteirinha,64863.109375,7597,8537.99023438
MARANHÃO,São Pedro da Água Branca,65256.91796875,11481,5683.91015625
MINAS GERAIS,Juiz de Fora,7423138.0,526706,14093.50976562
SANTA CATARINA,Major Vieira,126102.9140625,7675,16430.34960938
PARAÍBA,São Francisco,14183.72070312,3544,4002.17993164
SÃO PAULO,Mococa,1053969.625,68718,15337.61035156
BAHIA,Retirolândia,54673.390625,11798,4634.12011719
RONDÔNIA,Monte Negro,145329.3125,12708,11436.04980469
RIO GRANDE DO SUL,Bagé,1165896.5,115745,10072.98046875
PARANÁ,Mandaguari,427174.375,33109,12902.05957031
MATO GROSSO DO SUL,Aparecida do Taboado,349331.9375,20623,16938.94921875
CEARÁ,Reriutaba,70465.125,19444,3624.0
PIAUÍ,João Costa,11626.99414062,3315,3507.38989258
BAHIA,Caldeirão Grande,43519.43359375,13922,3125.94995117
PARÁ,Cachoeira do Piriá,47205.38671875,18777,2514.0
PARANÁ,Itaguajé,38368.25390625,4589,8360.91992188
MINAS GERAIS,Bueno Brandão,95530.296875,11212,8520.36035156
GOIÁS,Uruana,125436.234375,14115,8886.73046875
MINAS GERAIS,Carmo do Rio Claro,202915.625,20070,10110.40039062
RIO GRANDE DO NORTE,Carnaubais,54461.640625,9712,5607.66015625
MINAS GERAIS,Varzelândia,78314.7890625,19771,3961.09008789
RONDÔNIA,Colorado do Oeste,212184.0,17822,11905.73046875
PARAÍBA,Picuí,78050.453125,19359,4031.73999023
RIO GRANDE DO SUL,Erval Seco,92426.96875,8196,11277.08007812
PARANÁ,Pato Bragado,54275.8828125,4947,10971.46972656
MINAS GERAIS,Silvianópolis,61481.84765625,6261,9819.80957031
SÃO PAULO,Buri,246487.109375,18146,13583.54980469
RIO GRANDE DO NORTE,Janduís,25795.89648438,5562,4637.87988281
CEARÁ,Milagres,104356.4375,28077,3716.79003906
GOIÁS,Mimoso de Goiás,29721.85351562,2941,10106.04003906
SANTA CATARINA,Águas Frias,56920.30078125,2641,21552.56054688
MARANHÃO,Governador Nunes Freire,82837.78125,24520,3378.37988281
PIAUÍ,Caxingó,19456.99414062,5270,3692.0300293
RIO DE JANEIRO,Comendador Levy Gasparian,150088.640625,8839,16980.26953125
PARANÁ,Guaíra,327709.34375,29664,11047.37988281
BAHIA,Santana,116221.203125,27259,4263.58984375
MINAS GERAIS,Mercês,54027.89453125,10902,4955.77978516
SÃO PAULO,Joanópolis,133914.796875,11169,11989.86035156
RIO DE JANEIRO,Sumidouro,206854.375,15313,13508.41992188
MINAS GERAIS,Morada Nova de Minas,76796.5234375,8750,8776.75
SANTA CATARINA,Modelo,48248.37109375,3862,12493.11035156
SÃO PAULO,Presidente Bernardes,147201.09375,15382,9569.70019531
BAHIA,Santo Amaro,307409.65625,58387,5265.04003906
PIAUÍ,Canavieira,14949.34375,4093,3652.41992188
RIO GRANDE DO SUL,Catuípe,153886.890625,9611,16011.54003906
MARANHÃO,São João do Soter,46917.0703125,17326,2707.89990234
PIAUÍ,Demerval Lobão,35422.94140625,13232,2677.07006836
ACRE,Manoel Urbano,61478.73046875,7505,8191.70019531
GOIÁS,Ipameri,455039.1875,24021,18943.390625
RIO GRANDE DO SUL,Palmares do Sul,176851.203125,11998,14740.05957031
SERGIPE,São Domingos,49973.58984375,10555,4734.58984375
SÃO PAULO,Anhumas,37064.9296875,3947,9390.66015625
TOCANTINS,Santa Rita do Tocantins,32751.5625,2377,13778.53027344
AMAZONAS,Rio Preto da Eva,216235.546875,26847,8054.37011719
SERGIPE,Japoatã,77486.8359375,14027,5524.12011719
PARÁ,Capitão Poço,160230.15625,52797,3034.83007812
RIO GRANDE DO SUL,Lagoa Vermelha,408302.03125,28236,14460.33984375
SÃO PAULO,Braúna,40781.84375,5043,8086.81982422
PARÁ,Prainha,109358.3515625,26570,4115.85986328
PARAÍBA,Rio Tinto,135686.15625,23788,5703.97021484
